,Fp,Fp_sampled,GW_cutvalue,betas,counter,cutvalue_best,cutvalue_most_sampled,gammas,graph,graph_name,minimizer_method,most_common_bistring,n_Fp_evals,n_edges,n_nodes,n_samples,p,qubit_order,seed,time
20,3.74999999999957,3.765625,4.0,[0.39269902],"{(1, 0, 1, 0, 0): 96, (1, 1, 0, 0, 1): 11, (0, 1, 0, 1, 1): 96, (1, 0, 0, 1, 0): 103, (0, 0, 1, 0, 1): 80, (0, 0, 0, 1, 1): 9, (0, 0, 1, 1, 0): 10, (0, 1, 1, 0, 1): 88, (0, 1, 0, 0, 1): 84, (1, 1, 0, 1, 0): 91, (1, 0, 1, 0, 1): 85, (1, 1, 0, 0, 0): 10, (0, 1, 1, 0, 0): 11, (1, 0, 1, 1, 0): 87, (0, 1, 0, 1, 0): 96, (0, 0, 1, 0, 0): 2, (1, 0, 0, 1, 1): 10, (0, 0, 0, 1, 0): 2, (0, 0, 1, 1, 1): 12, (1, 0, 0, 0, 1): 8, (1, 0, 1, 1, 1): 3, (1, 1, 1, 0, 0): 10, (0, 1, 1, 1, 0): 9, (1, 0, 0, 0, 0): 2, (1, 1, 0, 1, 1): 2, (0, 1, 1, 1, 1): 1, (1, 1, 1, 1, 1): 1, (0, 1, 0, 0, 0): 2, (1, 1, 1, 1, 0): 1, (0, 0, 0, 0, 0): 1, (1, 1, 1, 0, 1): 1}",4.0,4.0,[0.78539855],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(1, 0, 0, 1, 0)",7.0,5.0,5.0,1024.0,1.0,"(0, 1, 2, 3, 4)",1.0,0.7541298866271973
21,3.9999999999999636,4.0,4.0,[0.55154676 0.26238843],"{(0, 1, 0, 1, 0): 103, (0, 1, 0, 1, 1): 94, (1, 1, 0, 1, 0): 103, (0, 1, 1, 0, 1): 113, (1, 0, 1, 0, 1): 98, (1, 0, 0, 1, 0): 91, (1, 0, 1, 1, 0): 108, (1, 0, 1, 0, 0): 126, (0, 0, 1, 0, 1): 95, (0, 1, 0, 0, 1): 93}",4.0,4.0,[0.524777   1.10309358],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(1, 0, 1, 0, 0)",12.0,5.0,5.0,1024.0,2.0,"(0, 1, 2, 3, 4)",1.0,3.769862413406372
22,3.9999999999965237,4.0,4.0,[0.56802901 0.37005029 0.11473677],"{(0, 0, 1, 0, 1): 116, (0, 1, 1, 0, 1): 115, (0, 1, 0, 0, 1): 116, (1, 0, 1, 0, 0): 108, (0, 1, 0, 1, 0): 88, (1, 0, 1, 1, 0): 91, (1, 0, 1, 0, 1): 110, (0, 1, 0, 1, 1): 101, (1, 0, 0, 1, 0): 91, (1, 1, 0, 1, 0): 88}",4.0,4.0,[0.41764025 0.92731667 1.20165343],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 0, 1, 0, 1)",10.0,5.0,5.0,1024.0,3.0,"(0, 1, 2, 3, 4)",1.0,7.712878465652466
23,3.999999999999833,4.0,4.0,[0.60998027 0.43893619 0.28157399 0.12589788],"{(1, 0, 1, 0, 1): 115, (1, 1, 0, 1, 0): 92, (0, 0, 1, 0, 1): 108, (1, 0, 1, 1, 0): 105, (0, 1, 0, 1, 1): 104, (1, 0, 1, 0, 0): 113, (0, 1, 1, 0, 1): 94, (0, 1, 0, 0, 1): 100, (1, 0, 0, 1, 0): 92, (0, 1, 0, 1, 0): 101}",4.0,4.0,[0.37710536 0.80500542 0.98518349 1.23530877],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(1, 0, 1, 0, 1)",8.0,5.0,5.0,1024.0,4.0,"(0, 1, 2, 3, 4)",1.0,13.93774962425232
24,3.999999999999951,4.0,4.0,[0.6109795  0.47761162 0.35831004 0.26519757 0.09871776],"{(1, 0, 1, 0, 0): 82, (0, 1, 0, 1, 0): 106, (1, 1, 0, 1, 0): 109, (1, 0, 1, 1, 0): 92, (0, 0, 1, 0, 1): 116, (0, 1, 0, 1, 1): 105, (1, 0, 0, 1, 0): 103, (1, 0, 1, 0, 1): 114, (0, 1, 1, 0, 1): 99, (0, 1, 0, 0, 1): 98}",4.0,4.0,[0.34869494 0.72437229 0.88172567 1.0561927  1.22755541],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 0, 1, 0, 1)",7.0,5.0,5.0,1024.0,5.0,"(0, 1, 2, 3, 4)",1.0,23.011202096939087
25,3.9999999999997264,4.0,4.0,[0.63140078 0.49431886 0.40614873 0.34256964 0.22456619 0.08877865],"{(0, 1, 0, 1, 1): 105, (1, 0, 1, 0, 1): 97, (0, 0, 1, 0, 1): 118, (0, 1, 0, 1, 0): 114, (1, 0, 1, 0, 0): 100, (1, 1, 0, 1, 0): 88, (1, 0, 0, 1, 0): 101, (0, 1, 1, 0, 1): 101, (1, 0, 1, 1, 0): 92, (0, 1, 0, 0, 1): 108}",4.0,4.0,[0.31940297 0.67422396 0.80690708 0.96883113 1.0726248  1.23988905],"{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 0, 1, 0, 1)",7.0,5.0,5.0,1024.0,6.0,"(0, 1, 2, 3, 4)",1.0,35.43545484542847
26,3.99999999999992,4.0,4.0,"[0.63274804 0.52001797 0.42683204 0.38606715 0.29491026 0.20337277
 0.08766581]","{(1, 0, 1, 0, 0): 85, (1, 0, 1, 1, 0): 112, (1, 1, 0, 1, 0): 107, (0, 1, 1, 0, 1): 97, (0, 0, 1, 0, 1): 106, (1, 0, 0, 1, 0): 94, (0, 1, 0, 0, 1): 103, (1, 0, 1, 0, 1): 109, (0, 1, 0, 1, 1): 104, (0, 1, 0, 1, 0): 107}",4.0,4.0,"[0.30821953 0.62335007 0.75721851 0.89511399 0.99575096 1.1058987
 1.23664226]","{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(1, 0, 1, 1, 0)",7.0,5.0,5.0,1024.0,7.0,"(0, 1, 2, 3, 4)",1.0,50.77931070327759
27,3.9999999999999285,4.0,4.0,"[0.63792885 0.5341275  0.45379831 0.40980539 0.33923762 0.26908723
 0.1924007  0.07619875]","{(1, 0, 1, 0, 0): 100, (0, 1, 0, 0, 1): 114, (1, 1, 0, 1, 0): 90, (0, 1, 1, 0, 1): 99, (0, 1, 0, 1, 1): 106, (1, 0, 1, 1, 0): 88, (1, 0, 0, 1, 0): 105, (1, 0, 1, 0, 1): 111, (0, 1, 0, 1, 0): 105, (0, 0, 1, 0, 1): 106}",4.0,4.0,"[0.28851685 0.59646274 0.7064829  0.84778442 0.92658439 1.03836638
 1.11461426 1.24156901]","{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 1, 0, 0, 1)",8.0,5.0,5.0,1024.0,8.0,"(0, 1, 2, 3, 4)",1.0,71.6461820602417
28,3.9999999999999005,4.0,4.0,"[0.63906656 0.5403285  0.47140963 0.43700829 0.36445878 0.30916584
 0.25741339 0.17689159 0.07237461]","{(0, 0, 1, 0, 1): 109, (1, 0, 1, 0, 0): 103, (1, 1, 0, 1, 0): 106, (0, 1, 0, 1, 0): 87, (0, 1, 0, 0, 1): 103, (1, 0, 1, 1, 0): 96, (1, 0, 0, 1, 0): 106, (1, 0, 1, 0, 1): 100, (0, 1, 0, 1, 1): 101, (0, 1, 1, 0, 1): 113}",4.0,4.0,"[0.27876617 0.56498857 0.67857006 0.7947809  0.88241806 0.97459952
 1.05339917 1.13016476 1.24065765]","{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 1, 1, 0, 1)",8.0,5.0,5.0,1024.0,9.0,"(0, 1, 2, 3, 4)",1.0,99.7250247001648
29,3.9999999999998987,4.0,4.0,"[0.64338994 0.55065262 0.48736561 0.45656037 0.39348177 0.33603215
 0.29634809 0.24034083 0.16452258 0.06580785]","{(0, 1, 1, 0, 1): 112, (0, 1, 0, 1, 1): 103, (1, 0, 1, 1, 0): 101, (0, 1, 0, 0, 1): 112, (1, 1, 0, 1, 0): 103, (0, 1, 0, 1, 0): 104, (1, 0, 0, 1, 0): 93, (1, 0, 1, 0, 1): 108, (1, 0, 1, 0, 0): 105, (0, 0, 1, 0, 1): 83}",4.0,4.0,"[0.26486624 0.54424393 0.64592981 0.76457903 0.83224387 0.93430057
 0.99427995 1.07518347 1.13837525 1.24407469]","{0: {1: {'weight': 1}, 4: {'weight': 1}}, 1: {0: {'weight': 1}, 2: {'weight': 1}}, 2: {1: {'weight': 1}, 3: {'weight': 1}}, 3: {2: {'weight': 1}, 4: {'weight': 1}}, 4: {3: {'weight': 1}, 0: {'weight': 1}}}",2-regular_5-nodal,BFGS,"(0, 1, 1, 0, 1)",7.0,5.0,5.0,1024.0,10.0,"(0, 1, 2, 3, 4)",1.0,127.92954444885254
