,Cmax,Fp,Fp_sampled,betas,brute_time,counter,cutvalue_best,cutvalue_most_sampled,gammas,graph,graph_name,minimizer_method,most_common_bistring,n_Fp_evals,n_edges,n_nodes,n_samples,p,qubit_order,seed,time
20,2.0,1.9999999999993816,2.0,[0.3914397  0.11510116 0.05263238 0.07309965 0.05413103],0.0,"{(1, 0, 1, 0): 247, (0, 1, 0, 1): 262, (1, 1, 0, 0): 251, (0, 0, 1, 1): 264}",2.0,2.0,[1.4072776  1.47740775 1.51635123 1.53838002 1.54867521],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 0, 1, 1)",4.0,2.0,4.0,1024.0,5.0,"(0, 1, 2, 3)",2.0,7.6601033210754395
21,2.0,1.999999999999979,2.0,[-0.40883548  0.3978426  -0.0242655  -0.60625948 -0.12462278  0.50566988],0.0,"{(1, 1, 0, 0): 272, (1, 0, 1, 0): 245, (0, 0, 1, 1): 263, (0, 1, 0, 1): 244}",2.0,2.0,[-1.2612845  -1.46395151 -1.49462168 -1.46995732 -1.50410414 -1.5456695 ],"{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 1, 0, 0)",7.0,2.0,4.0,1024.0,6.0,"(0, 1, 2, 3)",2.0,11.810229063034058
22,2.0,1.9999999999998064,2.0,"[-0.45825443  0.29317888  0.13538351 -0.36247899 -0.42356139  0.00436442
  0.4826231 ]",0.0,"{(0, 1, 0, 1): 274, (0, 0, 1, 1): 228, (1, 1, 0, 0): 250, (1, 0, 1, 0): 272}",2.0,2.0,"[-1.25228539 -1.42738328 -1.47105154 -1.47384801 -1.47311489 -1.52475731
 -1.55890179]","{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 1)",5.0,2.0,4.0,1024.0,7.0,"(0, 1, 2, 3)",2.0,17.299949407577515
23,2.0,1.9999999999994316,2.0,"[-0.49440495  0.14400558  0.18259046 -0.14226525 -0.35796002 -0.25173355
  0.06895922  0.42732391]",0.0,"{(0, 0, 1, 1): 279, (1, 1, 0, 0): 240, (1, 0, 1, 0): 240, (0, 1, 0, 1): 265}",2.0,2.0,"[-1.26272018 -1.39638394 -1.44912491 -1.45859152 -1.46160726 -1.48639157
 -1.52291435 -1.55596925]","{0: {3: {'weight': 1}}, 1: {2: {'weight': 1}}, 2: {1: {'weight': 1}}, 3: {0: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 0, 1, 1)",5.0,2.0,4.0,1024.0,8.0,"(0, 1, 2, 3)",2.0,24.350033283233643
24,3.0,2.3800862965228298,2.3896484375,[0.39269906],0.0,"{(1, 0, 0, 1): 124, (1, 0, 1, 0): 243, (0, 1, 0, 1): 231, (0, 1, 1, 0): 133, (0, 0, 0, 1): 49, (0, 1, 1, 1): 72, (1, 0, 0, 0): 58, (1, 1, 1, 0): 55, (1, 1, 0, 0): 19, (0, 0, 1, 1): 22, (1, 1, 0, 1): 1, (1, 1, 1, 1): 4, (0, 0, 0, 0): 12, (0, 1, 0, 0): 1}",3.0,3.0,[0.93592988],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 0)",7.0,3.0,4.0,1024.0,1.0,"(0, 1, 2, 3)",3.0,0.40011119842529297
25,3.0,2.732074027833458,2.73046875,[0.5609574  0.31760659],0.0,"{(1, 0, 0, 1): 58, (0, 1, 0, 1): 382, (0, 1, 1, 1): 18, (1, 0, 1, 0): 414, (1, 1, 0, 0): 12, (0, 1, 1, 0): 52, (1, 1, 1, 0): 23, (0, 0, 1, 1): 19, (0, 0, 0, 1): 14, (1, 0, 0, 0): 21, (1, 1, 1, 1): 3, (1, 1, 0, 1): 2, (0, 0, 0, 0): 3, (1, 0, 1, 1): 2, (0, 0, 1, 0): 1}",3.0,3.0,[0.88657893 1.54187364],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 0)",10.0,3.0,4.0,1024.0,2.0,"(0, 1, 2, 3)",3.0,1.7000272274017334
26,3.0,2.977917782998529,2.978515625,[0.62892966 0.5097138  0.32239712],0.0,"{(1, 0, 1, 0): 487, (0, 1, 0, 1): 515, (0, 1, 1, 1): 4, (1, 0, 0, 0): 2, (1, 1, 1, 0): 5, (1, 0, 0, 1): 7, (0, 1, 1, 0): 3, (0, 0, 0, 1): 1}",3.0,3.0,[0.82947876 1.61093913 1.65768908],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 1)",13.0,3.0,4.0,1024.0,3.0,"(0, 1, 2, 3)",3.0,4.5299224853515625
27,3.0,2.9999999999960445,3.0,[0.67401137 0.58768178 0.40313639 0.13676832],0.0,"{(1, 0, 1, 0): 490, (0, 1, 0, 1): 534}",3.0,3.0,[0.89543868 1.61407833 1.79831606 2.18311995],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(0, 1, 0, 1)",22.0,3.0,4.0,1024.0,4.0,"(0, 1, 2, 3)",3.0,12.789978742599487
28,3.0,2.9999999999946034,3.0,[0.71596637 0.62691336 0.51963692 0.28215524 0.09578577],0.0,"{(0, 1, 0, 1): 489, (1, 0, 1, 0): 535}",3.0,3.0,[0.72475921 1.51484584 1.75867819 1.98811593 2.02007266],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 0)",14.0,3.0,4.0,1024.0,5.0,"(0, 1, 2, 3)",3.0,21.199960947036743
29,3.0,2.9999999999997637,3.0,[0.72219357 0.65439066 0.5600771  0.41129797 0.22463639 0.08150028],0.0,"{(0, 1, 0, 1): 495, (1, 0, 1, 0): 529}",3.0,3.0,[0.66169516 1.37735031 1.68969319 1.8771237  1.91565468 2.06306174],"{0: {1: {'weight': 1}, 3: {'weight': 1}}, 1: {0: {'weight': 1}}, 2: {3: {'weight': 1}}, 3: {0: {'weight': 1}, 2: {'weight': 1}}}",erdos-renyi_4-nodal_edge-prob-0.5,BFGS,"(1, 0, 1, 0)",14.0,3.0,4.0,1024.0,6.0,"(0, 1, 2, 3)",3.0,32.40031814575195
