Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4013    0.411    0.000   15.504    0.004 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:25(create_circuit)
   264820    0.398    0.000    2.347    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:275(_add_op_node)
   806499    0.383    0.000    0.680    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\_collections_abc.py:879(__iter__)
  2592050    0.362    0.000    0.362    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:75(__hash__)
   529628    0.360    0.000    7.401    0.000 <__array_function__ internals>:2(round_)
  2665209    0.360    0.000    0.360    0.000 {method 'get' of 'dict' objects}
    63271    0.355    0.000    3.394    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:15(objective)
  2860837    0.345    0.000    0.381    0.000 {built-in method builtins.hash}
   529628    0.334    0.000    6.216    0.000 <__array_function__ internals>:2(around)
   858666    0.325    0.000    0.812    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:62(_add_multi_graph_edge)
    76247    0.319    0.000    1.799    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2198(_signature_from_callable)
   826562    0.316    0.000    0.396    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:227(has_register)
    76247    0.313    0.000    3.194    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:35(_freeze_init_parameters)
   529628    0.309    0.000    6.525    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3590(round_)
     8026    0.309    0.000    3.050    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\cx_cancellation.py:23(run)
  1324098    0.309    0.000    0.385    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:642(<genexpr>)
   529628    0.308    0.000    5.454    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3130(around)
  2098509    0.304    0.000    0.304    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:49(register)
   385190    0.300    0.000    3.982    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:498(qbit_argument_conversion)
    60185    0.299    0.000    1.521    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\rz.py:63(_define)
   806499    0.298    0.000    0.298    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuitdata.py:31(__getitem__)
    76247    0.280    0.000    3.659    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:30(__call__)
     8026    0.279    0.000    0.279    0.000 {dag_longest_path_length}
    48148    0.276    0.000    1.270    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\r.py:31(_define)
   545705    0.275    0.000    0.275    0.000 {method 'update' of 'dict' objects}
   529640    0.272    0.000    0.357    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copyreg.py:87(__newobj__)
  1540754    0.266    0.000    0.266    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:132(params)
   264820    0.263    0.000    0.368    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instructionset.py:43(add)
   413281    0.258    0.000    0.803    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:120(predecessors)
   529640    0.254    0.000    5.673    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:274(copy)
   409265    0.250    0.000    0.354    0.000 <frozen importlib._bootstrap>:416(parent)
   529640    0.249    0.000    0.306    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:246(_check_bits)
     8026    0.247    0.000    0.932    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:260(_split_runs_on_parameters)
   457406    0.242    0.000    0.840    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:116(successors)
   413281    0.239    0.000    0.239    0.000 {method 'remove_edge' of 'retworkx.PyDAG' objects}
   329028    0.238    0.000    0.238    0.000 {method 'add_node' of 'retworkx.PyDAG' objects}
  1344165    0.236    0.000    0.236    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:742(<genexpr>)
  1111419    0.235    0.000    0.235    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:178(definition)
    40130    0.232    0.000   27.433    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:152(_run_this_pass)
    48148    0.227    0.000    1.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\rx.py:53(_define)
   244755    0.226    0.000    1.007    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:85(assemble)
   140455    0.226    0.000    0.390    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2467(__init__)
  1749436    0.221    0.000    0.221    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:74(name)
   120370    0.221    0.000    1.086    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:31(__init__)
   188585    0.219    0.000    0.469    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:26(__init__)
  1197877    0.217    0.000    0.217    0.000 {built-in method builtins.iter}
   120370    0.216    0.000    1.736    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\x.py:188(__init__)
   329028    0.216    0.000    0.454    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:50(_add_multi_graph_node)
    32104    0.204    0.000    0.470    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:202(_add_wire)
   489521    0.203    0.000    0.643    0.000 {built-in method builtins.any}
    60185    0.201    0.000    2.642    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1679(rz)
  2515781    0.200    0.000    0.200    0.000 {built-in method builtins.id}
   397229    0.194    0.000    3.120    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:424(qubits)
     4013    0.189    0.000   91.812    0.023 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:143(sample)
     8026    0.184    0.000    0.346    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:961(op_nodes)
   120370    0.178    0.000    0.206    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:142(ctrl_state)
    76247    0.175    0.000    0.266    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2750(__init__)
    48148    0.170    0.000    2.093    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1637(rx)
  1645140    0.169    0.000    0.169    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:109(_key)
   172533    0.169    0.000    0.614    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumregister.py:28(__init__)
   180555    0.168    0.000    1.000    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\u1.py:78(__init__)
   216666    0.168    0.000    0.168    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:83(<listcomp>)
   252781    0.165    0.000    4.147    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:541(<listcomp>)
   244755    0.165    0.000   13.496    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\util.py:105(wrapper)
  1271947    0.164    0.000    0.164    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:60(index)
   240740    0.160    0.000    0.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:145(_broadcast_2_arguments)
