Tue Jun 23 13:33:19 2020    pso-static

         15241129 function calls (15186465 primitive calls) in 14.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20900    0.042    0.000    0.064    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2750(__init__)
     2270    0.042    0.000    0.042    0.000 {dag_longest_path_length}
   312776    0.039    0.000    0.043    0.000 {built-in method builtins.hash}
   108294    0.039    0.000    0.106    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:62(_add_multi_graph_edge)
    98506    0.037    0.000    0.047    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:227(has_register)
    11000    0.037    0.000    0.673    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1803(cx)
    48400    0.035    0.000    0.035    0.000 {method 'add_node' of 'retworkx.PyDAG' objects}
        1    0.035    0.035   14.104   14.104 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\pyswarm\pso.py:3(pso)
   150912    0.035    0.000    0.043    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:642(<genexpr>)
   255806    0.035    0.000    0.035    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:49(register)
    61206    0.034    0.000    0.044    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\copyreg.py:87(__newobj__)
   161296    0.034    0.000    0.034    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:742(<genexpr>)
    94912    0.034    0.000    0.034    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuitdata.py:31(__getitem__)
     2270    0.033    0.000    0.347    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\cx_cancellation.py:23(run)
    41800    0.033    0.000    0.403    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:498(qbit_argument_conversion)
   179864    0.033    0.000    0.033    0.000 {built-in method builtins.iter}
    48032    0.032    0.000    0.641    0.000 <__array_function__ internals>:2(round_)
    48400    0.031    0.000    0.066    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:50(_add_multi_graph_node)
    49500    0.031    0.000    0.094    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:120(predecessors)
     5500    0.031    0.000    0.048    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\validation\base.py:127(dump_additional_data)
    61206    0.031    0.000    0.661    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:274(copy)
    18641    0.030    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\numeric.py:283(full)
     5500    0.030    0.000    0.147    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\rz.py:63(_define)
    48032    0.029    0.000    0.535    0.000 <__array_function__ internals>:2(around)
    49500    0.029    0.000    0.029    0.000 {method 'remove_edge' of 'retworkx.PyDAG' objects}
    65620    0.029    0.000    0.029    0.000 {method 'update' of 'dict' objects}
    48032    0.028    0.000    0.469    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3130(around)
    61600    0.028    0.000    0.034    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:246(_check_bits)
    30800    0.028    0.000    0.040    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instructionset.py:43(add)
   224400    0.028    0.000    0.028    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\register.py:74(name)
    11280    0.028    0.000    0.039    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:192(_log_pass)
     1100    0.027    0.000    0.947    0.001 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:62(<listcomp>)
    20900    0.027    0.000    0.043    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:484(unwrap)
   159602    0.027    0.000    0.027    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:132(params)
    48032    0.027    0.000    0.562    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\numpy\core\fromnumeric.py:3590(round_)
    23100    0.027    0.000    0.057    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\bit.py:26(__init__)
     2270    0.026    0.000    0.092    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\passes\optimization\optimize_1q_gates.py:260(_split_runs_on_parameters)
    17541    0.026    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:48(format_counts_memory)
    41800    0.026    0.000    0.037    0.000 <frozen importlib._bootstrap>:416(parent)
     2200    0.025    0.000    0.048    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\dagcircuit.py:961(op_nodes)
     4400    0.025    0.000    0.113    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\r.py:31(_define)
    42342    0.024    0.000    0.080    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:116(successors)
   245896    0.024    0.000    0.024    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\dagcircuit\retworkx_dagcircuit.py:109(_key)
     1100    0.024    0.000    0.937    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\preset_passmanagers\level1.py:49(level_1_pass_manager)
    24906    0.023    0.000    0.102    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:85(assemble)
   275460    0.023    0.000    0.023    0.000 {built-in method builtins.id}
    52842    0.023    0.000    0.074    0.000 {built-in method builtins.any}
    17541    0.023    0.000    0.023    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:60(<listcomp>)
    38500    0.022    0.000    0.031    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\enum.py:284(__call__)
    20900    0.021    0.000    0.021    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:54(__init__)
    45100    0.021    0.000    0.323    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:424(qubits)
   104290    0.021    0.000    0.021    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:178(definition)
    17541    0.021    0.000    0.080    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:59(bitstring_to_array)
    18641    0.021    0.000    0.021    0.000 {built-in method builtins.sum}
     4400    0.021    0.000    0.104    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\rx.py:53(_define)
    11280    0.021    0.000    2.784    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:125(_do_pass)
     1100    0.020    0.000   14.045    0.013 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:53(expectation)
     2200    0.020    0.000    0.088    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:137(__init__)
    11000    0.020    0.000    0.097    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:31(__init__)
