Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   120370    0.413    0.000    7.757    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1803(cx)
   120370    0.221    0.000    1.086    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:31(__init__)
   120370    0.131    0.000    0.170    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:132(definition)
   120370    0.178    0.000    0.206    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\controlledgate.py:142(ctrl_state)
   120370    0.092    0.000    0.434    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\x.py:73(__init__)
   120370    0.216    0.000    1.736    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\x.py:188(__init__)
   112365    0.016    0.000    0.016    0.000 {built-in method builtins.callable}
   108333    0.058    0.000    0.077    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\instruction.py:209(<listcomp>)
   108333    0.136    0.000    0.136    0.000 {method 'item' of 'numpy.generic' objects}
   104338    0.027    0.000    0.027    0.000 {built-in method time.time}
    84274    0.035    0.000    0.095    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\abc.py:137(__instancecheck__)
    84274    0.060    0.000    0.060    0.000 {built-in method _abc._abc_instancecheck}
    80260    0.025    0.000    0.025    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:60(__hash__)
    76247    0.027    0.000    0.040    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:504(_is_wrapper)
    76247    0.111    0.000    0.175    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:484(unwrap)
    76247    0.493    0.000    1.230    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2117(_signature_from_function)
    76247    0.319    0.000    1.799    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2198(_signature_from_callable)
    76247    0.020    0.000    0.020    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2609(__init__)
    76247    0.175    0.000    0.266    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2750(__init__)
    76247    0.045    0.000    1.844    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2829(from_callable)
    76247    0.011    0.000    0.011    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2835(parameters)
    76247    0.536    0.000    0.757    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2879(_bind)
    76247    0.061    0.000    0.818    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:3010(bind)
    76247    0.052    0.000    1.895    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:3081(signature)
    76247    0.280    0.000    3.659    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:30(__call__)
    76247    0.313    0.000    3.194    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:35(_freeze_init_parameters)
