,angles,backend,distribution,energy,graph_atlas index,iterations,max-cut objective,noise,optimizer,optimum,p,solution,solution objective,time,topology
15,[622.17885449 -96.14330082],qasm_simulator,"{'0111': 6, '1000': 6, '0001': 7, '0011': 6, '1001': 4, '1101': 8, '0100': 6, '0010': 6, '0110': 6, '0000': 4, '1010': 5, '1110': 5, '1111': 8, '0101': 5, '1011': 8, '1100': 10}",-5.578323943e-05,10.0,,-1.00005578323943,0.0,SPSA,2.0,1.0,[1 1 0 0],1.0,6.595954656600952,0.0
16,[ 3534.64302829  1884.27387075   136.27450433 -2720.5608532 ],qasm_simulator,"{'0000': 21, '0111': 9, '1000': 6, '1110': 20, '1111': 11, '0001': 14, '0101': 2, '0011': 2, '1001': 3, '1101': 1, '1011': 1, '0100': 1, '0010': 3, '0110': 6}",0.26216305566562,10.0,,-0.73783694433438,0.0,SPSA,2.0,2.0,[1 1 1 1],0.0,9.400653600692749,0.0
17,"[ 6853.83038369  2459.06728347    38.80795803  -146.55839013
 -2701.04384186 -7787.24326859]",qasm_simulator,"{'0111': 4, '1000': 5, '0001': 13, '0011': 1, '1001': 8, '1101': 4, '0100': 1, '0010': 3, '0110': 9, '0000': 14, '1010': 2, '1110': 12, '1111': 16, '0101': 2, '1011': 4, '1100': 2}",0.29394922517782,10.0,,-0.70605077482218,0.0,SPSA,2.0,3.0,[0 0 0 0],0.0,12.262046337127686,0.0
18,[-7222.95158953  9569.02657199],qasm_simulator,"{'0111': 5, '1000': 6, '0001': 9, '0011': 3, '1001': 17, '1101': 2, '0100': 6, '0010': 8, '0110': 8, '0000': 1, '1010': 15, '1110': 3, '1111': 1, '0101': 12, '1011': 3, '1100': 1}",-0.49330113287248,11.0,,-1.49330113287248,0.0,SPSA,2.0,1.0,[0 1 1 0],2.0,6.686068773269653,0.0
19,[ 15829.06027598   -355.32731567 -27004.58857172  21422.88982193],qasm_simulator,"{'0111': 7, '1000': 6, '0001': 7, '0011': 2, '1001': 7, '1101': 7, '0100': 11, '0010': 7, '0110': 6, '0000': 4, '1010': 6, '1110': 9, '1111': 8, '0101': 6, '1011': 4, '1100': 3}",-0.02091113119848,11.0,,-1.02091113119848,0.0,SPSA,2.0,2.0,[1 1 0 1],1.0,10.1852548122406,0.0
20,"[-8649.01040077  2262.84879451  8521.6724903  11185.31182671
 34365.91813569 27528.53188299]",qasm_simulator,"{'0111': 7, '1000': 2, '0001': 3, '0011': 16, '1001': 2, '1101': 9, '0100': 8, '0010': 3, '0110': 2, '0000': 8, '1010': 2, '1110': 10, '1111': 10, '0101': 2, '1011': 3, '1100': 13}",0.35301066853014,11.0,,-0.64698933146986,0.0,SPSA,2.0,3.0,[0 0 1 1],0.0,12.145276546478271,0.0
21,[  860.77021357 -8283.84036734],qasm_simulator,"{'0111': 9, '1000': 7, '0001': 4, '0011': 6, '1001': 4, '1101': 6, '0100': 9, '0010': 7, '0110': 5, '0000': 9, '1010': 3, '1110': 9, '1111': 1, '0101': 5, '1011': 8, '1100': 8}",-0.01723319540478,12.0,,-1.51723319540478,0.0,SPSA,2.0,1.0,[1 0 0 0],0.0,7.210503101348877,0.0
22,[ 3943.81982287  7226.42216814  6686.69259117 12788.25807582],qasm_simulator,"{'0111': 8, '1000': 3, '0001': 9, '0011': 4, '1001': 5, '1101': 6, '0100': 7, '0010': 2, '0110': 5, '0000': 17, '1010': 2, '1110': 8, '1111': 8, '0101': 4, '1011': 7, '1100': 5}",0.39069160670165,12.0,,-1.10930839329835,0.0,SPSA,2.0,2.0,[1 1 1 1],0.0,10.118737697601318,0.0
23,"[   531.8874682    1012.85343623  23214.11054178   3430.16186526
 -16051.21995392  -5975.92136727]",qasm_simulator,"{'0000': 17, '0111': 1, '1000': 1, '1010': 1, '1110': 21, '1111': 32, '0001': 20, '1101': 1, '1011': 2, '0100': 1, '0010': 1, '0110': 1, '1100': 1}",1.27543772111868,12.0,,-0.22456227888131997,0.0,SPSA,2.0,3.0,[0 0 0 0],0.0,13.173435926437378,0.0
24,[119639.07471948 108266.39573813],qasm_simulator,"{'0000': 1, '0111': 20, '1000': 19, '1010': 9, '1110': 3, '0001': 4, '0101': 5, '0011': 8, '1001': 9, '1101': 1, '1011': 1, '0100': 1, '0010': 5, '0110': 5, '1100': 9}",-0.60878175993011,13.0,,-2.10878175993011,0.0,SPSA,3.0,1.0,[0 0 0 1],3.0,6.959078073501587,0.0
